"106年02月15日 三大法人買賣超日報"
"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2002","中鋼            ","30,653,680","3,455,702","27,197,978","1,444,000","0","1,444,000","9,211,000","993,000","155,000","838,000","8,726,000","353,000","8,373,000","37,852,978",
"2317","鴻海            ","49,658,727","13,422,213","36,236,514","460,000","25,000","435,000","872,000","1,141,000","380,000","761,000","1,233,000","1,122,000","111,000","37,543,514",
"2313","華通            ","13,311,000","3,000,000","10,311,000","8,533,000","0","8,533,000","7,054,000","3,050,000","1,920,000","1,130,000","6,636,000","712,000","5,924,000","25,898,000",
"2888","新光金          ","23,720,000","5,476,139","18,243,861","0","0","0","1,118,000","2,000","114,000","-112,000","2,061,000","831,000","1,230,000","19,361,861",
"2303","聯電            ","19,252,000","5,934,000","13,318,000","0","0","0","-24,000","1,000","37,000","-36,000","370,000","358,000","12,000","13,294,000",
"2886","兆豐金          ","19,791,000","6,901,629","12,889,371","118,000","196,000","-78,000","-14,000","100,000","121,000","-21,000","130,000","123,000","7,000","12,797,371",
"2311","日月光          ","20,389,000","8,101,655","12,287,345","18,000","73,000","-55,000","-156,000","507,000","368,000","139,000","397,000","692,000","-295,000","12,076,345",
"5880","合庫金          ","12,589,100","1,746,000","10,843,100","0","0","0","20,000","40,000","0","40,000","0","20,000","-20,000","10,863,100",
"2330","台積電          ","34,390,793","21,544,858","12,845,935","80,000","64,000","16,000","-2,640,000","307,000","1,567,000","-1,260,000","83,000","1,463,000","-1,380,000","10,221,935",
"2892","第一金          ","13,174,000","3,190,591","9,983,409","0","45,000","-45,000","192,000","139,000","0","139,000","53,000","0","53,000","10,130,409",
"2885","元大金          ","12,226,000","4,595,462","7,630,538","1,500,000","98,000","1,402,000","365,000","5,000","9,000","-4,000","1,291,000","922,000","369,000","9,397,538",
"2882","國泰金          ","14,058,576","4,764,306","9,294,270","0","150,000","-150,000","9,000","899,000","191,000","708,000","151,000","850,000","-699,000","9,153,270",
"2880","華南金          ","10,977,000","2,149,245","8,827,755","0","0","0","10,000","9,000","0","9,000","1,000","0","1,000","8,837,755",
