"101年05月02日 三大法人買賣超日報"
"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
"2303","聯電            ","46,911,000","28,499,762","18,411,238","5,707,000","0","5,707,000","646,000","648,000","2,000","24,764,238",
"2324","仁寶            ","18,164,000","3,682,000","14,482,000","980,000","0","980,000","415,000","554,000","139,000","15,877,000",
"2888","新光金          ","10,855,000","1,624,000","9,231,000","80,000","0","80,000","794,000","891,000","97,000","10,105,000",
"1216","統一            ","9,534,000","1,743,124","7,790,876","1,942,000","100,000","1,842,000","80,000","210,000","130,000","9,712,876",
"2891","中信金          ","15,626,000","7,611,326","8,014,674","736,000","0","736,000","495,777","956,000","460,223","9,246,451",
"2357","華碩            ","6,754,151","665,887","6,088,264","914,000","0","914,000","99,000","306,000","207,000","7,101,264",
"2330","台積電          ","38,841,300","32,897,643","5,943,657","284,000","272,000","12,000","731,000","1,774,000","1,043,000","6,686,657",
"2890","永豐金          ","13,988,000","7,726,000","6,262,000","76,000","0","76,000","-52,000","432,000","484,000","6,286,000",
"2308","台達電          ","15,490,000","11,168,958","4,321,042","1,379,000","0","1,379,000","285,000","308,000","23,000","5,985,042",
="051494","中環兆豐95購01  ","0","0","0","0","0","0","5,876,000","6,379,000","503,000","5,876,000",
="05811P","臺股指國票96售04","0","0","0","0","0","0","5,778,000","6,270,000","492,000","5,778,000",
"2823","中壽            ","6,119,000","998,171","5,120,829","15,000","142,000","-127,000","617,000","793,000","176,000","5,610,829",
"2311","日月光          ","11,691,000","7,899,922","3,791,078","947,000","0","947,000","503,000","786,000","283,000","5,241,078",
="05252P","華通凱基95售01  ","0","0","0","0","0","0","5,021,000","5,764,000","743,000","5,021,000",
"2382","廣達            ","17,773,050","14,486,179","3,286,871","1,522,000","0","1,522,000","69,000","285,000","216,000","4,877,871",
"2002","中鋼            ","10,354,500","5,531,433","4,823,067","121,000","455,000","-334,000","382,000","605,000","223,000","4,871,067",
"2882","國泰金          ","7,938,600","3,550,000","4,388,600","71,000","0","71,000","260,000","402,000","142,000","4,719,600",
"2892","第一金          ","4,283,000","4,103,712","179,288","46,000","0","46,000","4,033,000","4,195,000","162,000","4,258,288",
"2610","華航            ","6,682,000","2,811,630","3,870,370","34,000","0","34,000","302,000","321,000","19,000","4,206,370",
"2325","矽品            ","10,187,000","6,905,000","3,282,000","199,000","268,000","-69,000","760,000","872,000","112,000","3,973,000",
"2880","華南金          ","5,923,000","2,795,000","3,128,000","44,000","0","44,000","279,000","356,000","77,000","3,451,000",
"2379","瑞昱            ","2,985,000","375,000","2,610,000","1,061,000","310,000","751,000","0","185,000","185,000","3,361,000",
="047090","緯創元富93購01  ","0","0","0","0","0","0","3,273,000","3,273,000","0","3,273,000",
"2801","彰銀            ","3,844,000","938,000","2,906,000","39,000","0","39,000","155,000","243,000","88,000","3,100,000",
"5880","合庫金          ","3,657,000","755,000","2,902,000","60,000","168,000","-108,000","293,000","293,000","0","3,087,000",
="051125","TPK群益95購01   ","0","0","0","0","0","0","3,004,000","3,260,000","256,000","3,004,000",
="048999","康普國票95購01  ","0","0","0","0","0","0","2,994,000","3,561,000","567,000","2,994,000",
"2458","義隆            ","2,178,000","35,000","2,143,000","977,000","0","977,000","-175,000","400,000","575,000","2,945,000",
="046970","聯詠群益93購01  ","0","0","0","0","0","0","2,905,000","3,330,000","425,000","2,905,000",
"2354","鴻準            ","3,457,000","3,067,000","390,000","2,623,000","600,000","2,023,000","435,000","699,000","264,000","2,848,000",
"2474","可成            ","4,549,000","1,896,150","2,652,850","228,000","7,000","221,000","-26,000","402,000","428,000","2,847,850",
"3045","台灣大          ","4,155,700","1,581,000","2,574,700","148,000","0","148,000","124,093","134,093","10,000","2,846,793",
"2475","華映            ","4,672,000","1,952,000","2,720,000","0","0","0","0","0","0","2,720,000",
"3474","華亞科          ","5,190,000","2,559,000","2,631,000","18,000","0","18,000","-40","0","40","2,648,960",
"2049","上銀            ","2,818,000","645,000","2,173,000","48,000","0","48,000","295,000","377,000","82,000","2,516,000",
"2884","玉山金          ","7,862,000","7,448,077","413,923","1,515,000","0","1,515,000","552,000","719,000","167,000","2,480,923",
"9904","寶成            ","1,813,000","620,000","1,193,000","1,273,000","0","1,273,000","7,000","7,000","0","2,473,000",
"2820","華票            ","2,411,000","0","2,411,000","10,000","0","10,000","28,000","108,000","80,000","2,449,000",
"3702","大聯大          ","3,496,000","1,136,000","2,360,000","20,000","0","20,000","40,000","103,000","63,000","2,420,000",
="05617P","大立光統一97售02","0","0","0","0","0","0","2,410,000","2,924,000","514,000","2,410,000",
"2847","大眾銀          ","1,563,000","0","1,563,000","32,000","0","32,000","787,000","787,000","0","2,382,000",
"2834","臺企銀          ","4,657,000","1,807,000","2,850,000","29,000","500,000","-471,000","-31,000","69,000","100,000","2,348,000",
"2439","美律            ","1,608,000","336,000","1,272,000","1,183,000","136,000","1,047,000","8,000","50,000","42,000","2,327,000",
="047094","聯發科麥證93購02","0","0","0","0","0","0","2,203,000","2,203,000","0","2,203,000",
"2301","光寶科          ","3,329,000","1,376,156","1,952,844","33,000","0","33,000","77,991","78,000","9","2,063,835",
="048742","瀚宇博統一94購01","0","0","0","0","0","0","2,042,000","2,434,000","392,000","2,042,000",
="047304","元油2X元大96購02","0","0","0","0","0","0","2,028,000","2,398,000","370,000","2,028,000",
"2383","台光電          ","1,706,000","276,400","1,429,600","397,000","0","397,000","158,000","350,000","192,000","1,984,600",
="049493","可成元大94購05  ","0","0","0","0","0","0","1,949,000","2,029,000","80,000","1,949,000",
"2345","智邦            ","1,331,000","5,000","1,326,000","689,000","0","689,000","-77,000","0","77,000","1,938,000",
"2498","宏達電          ","3,254,981","1,513,640","1,741,341","8,000","49,000","-41,000","237,000","344,000","107,000","1,937,341",
="049317","啟碁凱基94購02  ","0","0","0","0","0","0","1,931,000","2,407,000","476,000","1,931,000",
="051642","鈺齊台新95購01  ","0","0","0","0","0","0","1,904,000","1,920,000","16,000","1,904,000",
"2356","英業達          ","3,439,000","1,627,000","1,812,000","66,000","0","66,000","-4,000","15,000","19,000","1,874,000",
="05394P","聯詠中信95售02  ","198,000","243,000","-45,000","0","0","0","1,909,000","2,147,000","238,000","1,864,000",
="048253","T50反1統一93購08","0","0","0","0","0","0","1,846,000","1,906,000","60,000","1,846,000",
"1504","東元            ","3,495,000","1,670,107","1,824,893","19,000","0","19,000","-9,000","241,000","250,000","1,834,893",
="06193P","台積電元富97售04","0","0","0","0","0","0","1,769,000","1,854,000","85,000","1,769,000",
="06074P","台積電凱基98售04","0","0","0","0","0","0","1,710,000","2,169,000","459,000","1,710,000",
"2313","華通            ","1,867,000","381,000","1,486,000","8,000","0","8,000","211,000","245,000","34,000","1,705,000",
="049773","臺股指元富94購02","0","0","0","0","0","0","1,693,000","2,963,000","1,270,000","1,693,000",
"2618","長榮航          ","3,565,000","2,096,300","1,468,700","253,000","0","253,000","-82,000","136,000","218,000","1,639,700",
="047303","寶滬深元大96購01","0","0","0","0","0","0","1,631,000","1,918,000","287,000","1,631,000",
="05749P","臺股指群益99售03","0","0","0","0","0","0","1,621,000","2,089,000","468,000","1,621,000",
="050570","聯發科中信97購02","0","0","0","0","0","0","1,618,000","2,026,000","408,000","1,618,000",
="06071P","大立光永豐97售01","0","0","0","0","0","0","1,610,000","2,108,000","498,000","1,610,000",
"3034","聯詠            ","1,472,000","156,000","1,316,000","231,000","0","231,000","25,000","33,000","8,000","1,572,000",
="06035P","同欣電凱基96售03","0","0","0","0","0","0","1,568,000","3,909,000","2,341,000","1,568,000",
="05703P","矽力群益96售03  ","0","0","0","0","0","0","1,561,000","1,602,000","41,000","1,561,000",
"3697","F-晨星          ","1,905,000","447,500","1,457,500","3,000","30","2,970","90,000","215,000","125,000","1,550,470",
="050378","上証2X群益98購02","0","0","0","0","0","0","1,532,000","1,552,000","20,000","1,532,000",
="05491P","茂林元大95售04  ","0","0","0","0","0","0","1,495,000","1,495,000","0","1,495,000",
="050011","S&P反1國泰95購01","0","0","0","0","0","0","1,486,000","1,486,000","0","1,486,000",
="05705P","上証2X永豐96售03","0","0","0","0","0","0","1,479,000","2,896,000","1,417,000","1,479,000",
